NodeID,DegreeBefore,DegreeAfter,DegreeChange,NodeType
0,353,534,181,Real
1,23,4038,4015,Fake
2,16,217,201,Real
3,23,222,199,Real
4,16,214,198,Real
5,19,220,201,Real
6,12,212,200,Real
7,26,225,199,Real
8,14,214,200,Real
9,63,261,198,Real
10,16,217,201,Real
11,7,208,201,Real
12,7,208,201,Real
13,37,237,200,Real
14,21,221,200,Real
15,7,208,201,Real
16,15,216,201,Real
17,19,219,200,Real
18,7,208,201,Real
19,22,222,200,Real
20,21,221,200,Real
21,71,271,200,Real
22,17,217,200,Real
23,23,223,200,Real
24,22,223,201,Real
25,75,272,197,Real
26,74,4038,3964,Fake
27,11,212,201,Real
28,19,220,201,Real
29,19,220,201,Real
30,23,223,200,Real
31,29,229,200,Real
32,12,213,201,Real
33,8,209,201,Real
34,11,212,201,Real
35,8,209,201,Real
36,17,218,201,Real
37,7,208,201,Real
38,15,215,200,Real
39,21,222,201,Real
40,50,247,197,Real
41,30,230,200,Real
42,8,209,201,Real
43,7,208,201,Real
44,12,213,201,Real
45,18,219,201,Real
46,11,212,201,Real
47,8,209,201,Real
48,28,228,200,Real
49,10,211,201,Real
50,17,218,201,Real
51,13,214,201,Real
52,8,209,201,Real
53,37,237,200,Real
54,14,214,200,Real
55,23,223,200,Real
56,84,281,197,Target
57,21,222,201,Real
58,18,219,201,Real
59,25,225,200,Real
60,14,215,201,Real
61,9,210,201,Real
62,32,4038,4006,Fake
63,12,213,201,Real
64,13,214,201,Real
65,18,218,200,Real
66,21,221,200,Real
67,82,279,197,Target
68,15,4038,4023,Fake
69,16,216,200,Real
70,8,209,201,Real
71,9,210,201,Real
72,30,4038,4008,Fake
73,16,216,200,Real
74,7,208,201,Real
75,20,221,201,Real
76,9,210,201,Real
77,12,4038,4026,Fake
78,15,213,198,Real
79,18,218,200,Real
80,29,230,201,Real
81,9,210,201,Real
82,40,240,200,Real
83,13,214,201,Real
84,19,219,200,Real
85,20,221,201,Real
86,12,213,201,Real
87,19,219,200,Real
88,26,226,200,Real
89,14,214,200,Real
90,8,209,201,Real
91,14,214,200,Real
92,27,227,200,Target
93,14,215,201,Real
94,28,229,201,Real
95,12,213,201,Real
96,15,214,199,Real
97,9,209,200,Real
98,55,253,198,Real
99,19,219,200,Real
100,15,216,201,Real
101,25,226,201,Real
102,12,213,201,Real
103,22,4038,4016,Fake
104,38,238,200,Real
105,20,221,201,Real
106,14,215,201,Real
107,1051,1190,139,Real
108,19,220,201,Real
109,43,243,200,Real
110,11,212,201,Real
111,20,220,200,Real
112,9,210,201,Real
113,46,245,199,Real
114,7,208,201,Real
115,27,227,200,Real
116,23,223,200,Real
117,12,212,200,Target
118,42,241,199,Real
119,68,266,198,Real
120,10,211,201,Real
121,18,219,201,Real
122,69,267,198,Real
123,24,224,200,Real
124,10,211,201,Real
125,10,211,201,Real
126,13,213,200,Real
127,22,223,201,Real
128,34,234,200,Real
129,13,213,200,Real
130,22,222,200,Real
131,13,214,201,Real
132,22,222,200,Real
133,24,220,196,Real
134,25,225,200,Real
135,16,217,201,Real
136,139,335,196,Real
137,22,222,200,Target
138,8,209,201,Real
139,15,216,201,Real
140,17,217,200,Real
141,34,231,197,Real
142,49,248,199,Real
143,18,218,200,Real
144,21,222,201,Real
145,8,209,201,Real
146,16,216,200,Real
147,12,212,200,Real
148,26,225,199,Real
149,20,221,201,Real
150,17,218,201,Real
151,13,214,201,Real
152,11,210,199,Real
153,8,209,201,Real
154,8,208,200,Real
155,9,210,201,Real
156,18,219,201,Real
157,9,210,201,Real
158,31,230,199,Real
159,20,221,201,Real
160,8,209,201,Real
161,31,229,198,Real
162,14,215,201,Real
163,12,213,201,Real
164,9,210,201,Real
165,17,217,200,Real
166,10,211,201,Real
167,13,214,201,Real
168,17,217,200,Real
169,44,243,199,Real
170,52,250,198,Real
171,28,226,198,Real
172,47,244,197,Real
173,18,219,201,Real
174,10,211,201,Real
175,23,223,200,Real
176,20,220,200,Real
177,17,217,200,Real
178,19,220,201,Real
179,9,210,201,Real
180,26,227,201,Real
181,16,214,198,Real
182,9,4038,4029,Fake
183,8,4038,4030,Fake
184,24,225,201,Real
185,32,231,199,Real
186,50,249,199,Real
187,22,223,201,Real
188,54,253,199,Real
