Epsilon: 8.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.100000, JS_Divergence: 0.001086
Epsilon: 7.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.100000, JS_Divergence: 0.001086
Epsilon: 6.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.100000, JS_Divergence: 0.001086
Epsilon: 5.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.100000, JS_Divergence: 0.001086
Epsilon: 4.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.100000, JS_Divergence: 0.001086
Epsilon: 3.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.100000, JS_Divergence: 0.001086
Epsilon: 2.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.100000, JS_Divergence: 0.001086
Epsilon: 1.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.100000, JS_Divergence: 0.001086
Epsilon: 4.0, Beta: 0.001, Gamma: 0.050, Wasserstein: 0.002000, JS_Divergence: 0.000002
Epsilon: 4.0, Beta: 0.005, Gamma: 0.050, Wasserstein: 0.010000, JS_Divergence: 0.000013
Epsilon: 4.0, Beta: 0.010, Gamma: 0.050, Wasserstein: 0.020000, JS_Divergence: 0.000047
Epsilon: 4.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.100000, JS_Divergence: 0.001086
Epsilon: 4.0, Beta: 0.100, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.003150
Epsilon: 4.0, Beta: 0.150, Gamma: 0.050, Wasserstein: 0.299000, JS_Divergence: 0.005489
Epsilon: 4.0, Beta: 0.050, Gamma: 0.001, Wasserstein: 0.099000, JS_Divergence: 0.000938
Epsilon: 4.0, Beta: 0.050, Gamma: 0.005, Wasserstein: 0.099000, JS_Divergence: 0.001947
Epsilon: 4.0, Beta: 0.050, Gamma: 0.010, Wasserstein: 0.100000, JS_Divergence: 0.001229
Epsilon: 4.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.100000, JS_Divergence: 0.001086
Epsilon: 4.0, Beta: 0.050, Gamma: 0.100, Wasserstein: 0.100000, JS_Divergence: 0.001109
Epsilon: 4.0, Beta: 0.050, Gamma: 0.150, Wasserstein: 0.100000, JS_Divergence: 0.001144
