Epsilon: 8.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002639
Epsilon: 7.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002639
Epsilon: 6.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002639
Epsilon: 5.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002639
Epsilon: 4.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002639
Epsilon: 3.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002639
Epsilon: 2.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002639
Epsilon: 1.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002639
Epsilon: 4.0, Beta: 0.001, Gamma: 0.050, Wasserstein: 0.004000, JS_Divergence: 0.000007
Epsilon: 4.0, Beta: 0.005, Gamma: 0.050, Wasserstein: 0.020000, JS_Divergence: 0.000035
Epsilon: 4.0, Beta: 0.010, Gamma: 0.050, Wasserstein: 0.040000, JS_Divergence: 0.000169
Epsilon: 4.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002639
Epsilon: 4.0, Beta: 0.100, Gamma: 0.050, Wasserstein: 0.400000, JS_Divergence: 0.009426
Epsilon: 4.0, Beta: 0.150, Gamma: 0.050, Wasserstein: 0.600000, JS_Divergence: 0.019605
Epsilon: 4.0, Beta: 0.050, Gamma: 0.001, Wasserstein: 0.200000, JS_Divergence: 0.002639
Epsilon: 4.0, Beta: 0.050, Gamma: 0.005, Wasserstein: 0.200000, JS_Divergence: 0.002639
Epsilon: 4.0, Beta: 0.050, Gamma: 0.010, Wasserstein: 0.200000, JS_Divergence: 0.002639
Epsilon: 4.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002639
Epsilon: 4.0, Beta: 0.050, Gamma: 0.100, Wasserstein: 0.200000, JS_Divergence: 0.002639
Epsilon: 4.0, Beta: 0.050, Gamma: 0.150, Wasserstein: 0.200000, JS_Divergence: 0.002639
