Epsilon: 8.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002999
Epsilon: 7.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002999
Epsilon: 6.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002999
Epsilon: 5.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002999
Epsilon: 4.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002999
Epsilon: 3.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002999
Epsilon: 2.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002999
Epsilon: 1.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002999
Epsilon: 4.0, Beta: 0.001, Gamma: 0.050, Wasserstein: 0.004000, JS_Divergence: 0.000006
Epsilon: 4.0, Beta: 0.005, Gamma: 0.050, Wasserstein: 0.020000, JS_Divergence: 0.000058
Epsilon: 4.0, Beta: 0.010, Gamma: 0.050, Wasserstein: 0.040000, JS_Divergence: 0.000306
Epsilon: 4.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002999
Epsilon: 4.0, Beta: 0.100, Gamma: 0.050, Wasserstein: 0.400000, JS_Divergence: 0.008537
Epsilon: 4.0, Beta: 0.150, Gamma: 0.050, Wasserstein: 0.600000, JS_Divergence: 0.017794
Epsilon: 4.0, Beta: 0.050, Gamma: 0.001, Wasserstein: 0.200000, JS_Divergence: 0.002999
Epsilon: 4.0, Beta: 0.050, Gamma: 0.005, Wasserstein: 0.200000, JS_Divergence: 0.002999
Epsilon: 4.0, Beta: 0.050, Gamma: 0.010, Wasserstein: 0.200000, JS_Divergence: 0.002999
Epsilon: 4.0, Beta: 0.050, Gamma: 0.050, Wasserstein: 0.200000, JS_Divergence: 0.002999
Epsilon: 4.0, Beta: 0.050, Gamma: 0.100, Wasserstein: 0.200000, JS_Divergence: 0.002999
Epsilon: 4.0, Beta: 0.050, Gamma: 0.150, Wasserstein: 0.200000, JS_Divergence: 0.002999
